pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2013-03-21	"Spring: A strategy-proof and privacy preserving spectrum auction mechanism"	"2013 Proceedings IEEE INFOCOM, 827-835"	"todo#1"	"todo#2"	0	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:qjMakFHDy7sC	todo#3
2017-03-21	"NICScatter: Backscatter as a Covert Channel in Mobile Devices"	"Proceedings of the 23rd Annual International Conference on Mobile Computing …"	"todo#1"	"todo#2"	1	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:5nxA0vEk-isC	todo#3
2017-03-21	"Your glasses know your diet: Dietary monitoring using electromyography sensors"	"IEEE Internet of Things Journal 4 (3), 705-712"	"todo#1"	"todo#2"	2	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:hqOjcs7Dif8C	todo#3
2016-03-21	"Battery-free sensing platform for wearable devices: The synergy between two feet"	"IEEE INFOCOM 2016-The 35th Annual IEEE International Conference on Computer …"	"todo#1"	"todo#2"	3	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:roLk4NBRz8UC	todo#3
2015-03-21	"A general privacy-preserving auction mechanism for secondary spectrum markets"	"IEEE/ACM Transactions on Networking 24 (3), 1881-1893"	"todo#1"	"todo#2"	4	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:zYLM7Y9cAGgC	todo#3
2022-03-21	"Fednilm: Applying federated learning to nilm applications at the edge"	"IEEE Transactions on Green Communications and Networking"	"todo#1"	"todo#2"	5	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:hC7cP41nSMkC	todo#3
2014-03-21	"Towards privacy preservation in strategy-proof spectrum auction mechanisms for noncooperative wireless networks"	"IEEE/ACM Transactions on Networking 23 (4), 1271-1285"	"todo#1"	"todo#2"	6	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:UeHWp8X0CEIC	todo#3
2020-03-21	"Joint Design of Sensing and Communication Systems for Smart Homes"	"IEEE Network 34 (6), 191-197"	"todo#1"	"todo#2"	7	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:4TOpqqG69KYC	todo#3
2019-03-21	"ALS-P: Light Weight Visible Light Positioning via Ambient Light Sensor"	"IEEE INFOCOM 2019-IEEE Conference on Computer Communications, 1306-1314"	"todo#1"	"todo#2"	8	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:_kc_bZDykSQC	todo#3
2018-03-21	"Toward Battery-Free Wearable Devices: The Synergy between Two Feet"	"ACM Transactions on Cyber-Physical Systems 2 (3), 1-18"	"todo#1"	"todo#2"	9	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:MXK_kJrjxJIC	todo#3
2021-03-21	"Context-Aware Wireless-Based Cross-Domain Gesture Recognition"	"IEEE Internet of Things Journal 8 (17), 13503-13515"	"todo#1"	"todo#2"	10	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:9ZlFYXVOiuMC	todo#3
2020-03-21	"Ecgadv: Generating adversarial electrocardiogram to misguide arrhythmia classification system"	"Proceedings of the AAAI Conference on Artificial Intelligence 34 (04), 3446-3453"	"todo#1"	"todo#2"	11	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:KlAtU1dfN6UC	todo#3
2018-03-21	"Smart-U: Smart Utensils Know What You Eat"	"IEEE INFOCOM 2018-IEEE Conference on Computer Communications, 1439-1447"	"todo#1"	"todo#2"	12	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:kNdYIx-mwKoC	todo#3
2018-03-21	"Authenticating On-Body Backscatter by Exploiting Propagation Signatures"	"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous …"	"todo#1"	"todo#2"	13	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:3fE2CSJIrl8C	todo#3
2020-03-21	"Loradar: Enabling concurrent radar sensing and lora communication"	"IEEE Transactions on Mobile Computing 21 (6), 2045-2057"	"todo#1"	"todo#2"	14	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:aqlVkmm33-oC	todo#3
2015-03-21	"TRADE: A truthful online combinatorial auction for spectrum allocation in cognitive radio networks"	"Wireless Communications and Mobile Computing 15 (9), 1320-1330"	"todo#1"	"todo#2"	15	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:IjCSPb-OGe4C	todo#3
2021-03-21	"Lili: liquor quality monitoring based on light signals"	"Proceedings of the 27th Annual International Conference on Mobile Computing …"	"todo#1"	"todo#2"	16	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:ZeXyd9-uunAC	todo#3
2020-03-21	"FreeScatter: enabling concurrent backscatter communication using antenna arrays"	"IEEE Internet of Things Journal 7 (8), 7310-7318"	"todo#1"	"todo#2"	17	https://scholar.google.com.hk/citations?view_op=view_citation&hl=zh-CN&user=AZAiLpkAAAAJ&citation_for_view=AZAiLpkAAAAJ:ULOm3_A8WrAC	todo#3
